OBJECTID,Site_Name,Longitude,Latitude,Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time,layer,About
22,Jhulta Minara,72.61407675,23.014457,4.3,7am-7pm,7am-7pm,7am-7pm,7am-7pm,7am-7pm,7am-7pm,7am-7pm,,Heritage_Gems,"The Sidi Bashir Mosque in Ahmedabad, India, is famous for its unique architectural feature: the Jhulta Minar or Shaking Minarets.
Architectural Marvel: The minarets are three stories tall with intricate carvings and exhibit a fascinating phenomenon. A gentle push to one minaret causes the other to vibrate after a few seconds, while the connecting passage remains still.
Historical Significance: Built in the 15th century, the mosque showcases Indo-Islamic architectural style.
Mystery of the Vibration: The exact mechanism behind this ""shaking"" phenomenon remains a mystery to engineers, although the layered construction is believed to play a role.
Historical Context: The mosque has a rich history, though much of the original structure has been destroyed over time.
The Sidi Bashir Mosque, with its iconic Shaking Minarets, is a unique and intriguing historical site in Ahmedabad, offering a glimpse into the city's rich architectural and cultural heritage."
24,Kavi Dalpatram Memorial,72.59169226,23.02936141,4.3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,Heritage_Gems,"Discover the Literary Legacy of Kavi Dalpatram Chowk in Ahmedabad!

Immerse yourself in the rich cultural heritage of Ahmedabad with a visit to Kavi Dalpatram Chowk, a tribute to the renowned Gujarati poet and social reformer, Dalpatram Dahyabhai Travadi.

Explore the Memorial: Admire the lifelike statue of Kavi Dalpatram and learn about his significant contributions to Gujarati literature and social reform.
Step Back in Time: Imagine the poet's life as you stand before the replica of his former house, evoking the ambiance of 19th-century Ahmedabad.
Reflect on Social Change: Discover how Kavi Dalpatram's powerful writings challenged social norms and advocated for reforms like widow remarriage and the abolition of child marriage.
Literary Journey: Delve into the world of Gujarati poetry and prose, appreciating Dalpatram's role in shaping the language's literary landscape.
Heritage Walk Stop: Include Kavi Dalpatram Chowk in your Heritage Walk itinerary, starting at the Swaminarayan Temple in Kalupur, and experience the city's vibrant past.
Don't miss this opportunity to connect with Ahmedabad's literary and cultural heritage at Kavi Dalpatram Chowk!"
25,Kochrab Ashram,72.56658,23.015284,4.3,Closed,9:00 a.m. to 5:30 p.m.,9:00 a.m. to 5:30 p.m.,9:00 a.m. to 5:30 p.m.,9:00 a.m. to 5:30 p.m.,9:00 a.m. to 5:30 p.m.,9:00 a.m. to 5:30 p.m.,,Heritage_Gems,"Discover the Birthplace of Gandhian Ideals: Kochrab Ashram

The Kochrab Ashram, also known as Satyagraha Ashram, is a must-visit destination for history buffs, Gandhi enthusiasts, and those seeking a deeper understanding of India's freedom struggle.

What to Expect:

Step Back in Time: Explore the historic bungalow where Mahatma Gandhi lived with his followers in the early years of his Satyagraha movement.
Gandhi's Living Quarters: See Gandhi's living quarters, his writing desk, and other personal belongings.
Explore Gandhian Principles: Learn about the core principles of Gandhian philosophy, including self-reliance, community living, and non-violence, which were developed and practiced within the ashram.
Witness a Piece of History: See the original structures, including the kitchen and the Panch Ordio (a multi-purpose building), offering a glimpse into the daily life of the ashram residents.
Interactive Exhibits: Engage with interactive exhibits that showcase Gandhi's life, his philosophy, and the history of the ashram.
Why Visit:

Historical Significance: The Kochrab Ashram is a significant landmark in the history of India's freedom struggle.
Cultural Immersion: Gain a deeper understanding of Gandhian principles and their relevance in today's world.
Unique Experience: Explore a historic site that offers a glimpse into the life and work of one of India's most revered leaders."
27,Manek Chowk,72.588666,23.023622,4.2,11:00 am -2:00 am,11:00 am -2:00 am,11:00 am -2:00 am,11:00 am -2:00 am,11:00 am -2:00 am,11:00 am -2:00 am,11:00 am -2:00 am,,Heritage_Gems,"Manek Chowk: A Vibrant Hub in Ahmedabad

Manek Chowk is a bustling square in the heart of Old Ahmedabad, renowned for its dynamic character and historical significance.

Daytime Markets:

Morning: Transforms into a vibrant vegetable market, offering a colorful display of fresh produce.
Afternoon: Shifts gears to a bustling jewelry market, one of the largest in India.
Nighttime Food Paradise:

After sunset, Manek Chowk comes alive as a renowned street food haven.
Indulge in a delectable array of local delicacies, from savory snacks like Bhajipau and Dosa to sweet treats like the famous Kulfi.
Historical Significance:

Named after Baba Maneknath, a saint who played a crucial role in the construction of Bhadra Fort.
Surrounded by historical landmarks:
Badshah no Hajiro: Tombs of male members of the royal family.
Rani no Hajiro: Tombs of the queens of Ahmed Shah I.
Ahmedabad Stock Exchange Building: A historic landmark dating back to 1894.
Mahurat Pol: One of the oldest residential areas in Ahmedabad.
Cultural Hub:

Experiences the vibrant energy of the square as it transitions from a bustling marketplace to a lively food haven.
Immerse yourself in the local culture and enjoy the unique atmosphere.
Manek Chowk is a must-visit destination for anyone exploring Ahmedabad, offering a unique blend of history, culture, and culinary delights."
30,Old Stock Exchange,72.58916957,23.02348417,3.7,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,Closed,,Heritage_Gems,"Ahmedabad Stock Exchange: A Glimpse into India's Financial History.

The Ahmedabad Stock Exchange (ASE), established in 1894, holds a significant place in India's financial history.

A Pioneer in Indian Finance: As the second-oldest stock exchange in India, the ASE played a crucial role in the development of the country's financial markets.
A Heritage Building: The original stock exchange building, a testament to architectural history, operated for over 90 years before shifting to a modern facility.
Historical Significance: The ASE witnessed the evolution of India's financial landscape, playing a vital role in the growth of businesses and industries in the region.
Key Points:

Founded in 1894: Established as a public charitable trust, predating many other stock exchanges in the country.
Historical Building: The original building, a landmark in itself, showcased architectural elegance.
Regulatory Compliance: Operated under the framework of the Securities Contract (Regulations) Act, 1956.
Technological Advancements: Adopted modern trading systems, including ASETS and IBOSS, to keep pace with evolving market demands.
While the ASE has ceased its stock exchange operations, its historical significance and contribution to the development of India's financial markets remain an important part of the city's heritage."
32,Rani no Hajiro,72.589024,23.023278,4.3,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,10am-6pm,,Heritage_Gems,"Rani no Hajiro: A Glimpse into Ahmedabad's Royal Past.

Rani no Hajiro, meaning ""Queens' Tomb"" in Gujarati, is a fascinating historical site located near Manek Chowk in Ahmedabad, India. This elegant tomb complex houses the remains of the queens of Sultan Ahmed Shah I, the founder of the city.

Architectural Marvels:

Intricate Design: The complex features a beautifully carved gateway and a central courtyard surrounded by a trellised cloister.
Ornate Tombs: The eight marble tombs within the complex are exquisitely crafted, showcasing intricate carvings, mother-of-pearl inlay, and metalwork.
Architectural Fusion: The architecture reflects a unique blend of Hindu, Jain, and Islamic styles, characteristic of the Indo-Islamic architectural tradition prevalent during the Sultanate period.
Historical Significance:

Royal Heritage: Provides a glimpse into the lives and times of the royal women of the Gujarat Sultanate.
Cultural Significance: Reflects the rich cultural and artistic heritage of Ahmedabad during its golden age.
A Visit to Rani no Hajiro offers:

A unique historical experience: Explore the tombs of the queens and delve into the fascinating history of the Gujarat Sultanate.
Architectural appreciation: Admire the intricate carvings and architectural details of this impressive complex.
Cultural immersion: Experience the blend of architectural styles and artistic expressions that reflect the diverse cultural influences of the region.
Rani no Hajiro is a must-visit for anyone interested in history, architecture, and the rich cultural heritage of Ahmedabad."
34,Rani Sipri Tomb,72.589808,23.017731,4.5,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,Heritage_Gems,"Rani Sipri's Mosque: A Testament to Architectural Fusion.

Rani Sipri's Mosque, also known as Masjid-e-nagina (Jewel of a Mosque), is a remarkable example of Indo-Islamic architecture in Ahmedabad, India.

Key Features:

Unique Patronage: Built in 1514 by Rani Sipri, a Hindu queen of Sultan Mahmud Begada, highlighting the religious tolerance and cultural fusion of the era.
Intricate Jali Work: Renowned for its exquisite jali (perforated stone screens) featuring delicate floral and tree motifs. This intricate stonework is considered a masterpiece of Indo-Islamic architecture.
Historical Significance: A testament to the harmonious coexistence of different faiths and cultures during the reign of the Gujarat Sultans.
Rani Sipri's Mosque stands as a significant landmark in Ahmedabad, offering a glimpse into the city's rich architectural and cultural heritage."
41,Sarkhej Roza,72.50563098,22.99366902,4.6,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,,Heritage_Gems,"The Sarkhej Roza is a significant historical and architectural complex located near Ahmedabad, India.

A Glimpse into History:

Sufi Heritage: The complex is associated with Shaikh Ahmed Khattu Ganj Baksh, a renowned Sufi saint.
Royal Patronage: Built and expanded by successive Sultans of Gujarat, reflecting their devotion to the saint and their patronage of art and architecture.
Historical Significance: Served as a prominent center of Sufi culture and played a crucial role in the development of Ahmedabad.
Architectural Marvels:

Fusion of Styles: Showcases a unique blend of Indo-Islamic architecture, incorporating elements of Persian, Hindu, and Jain styles.
Key Structures:
Mausoleum of Shaikh Ahmed Khattu Ganj Baksh: A grand structure with intricate stone trellis work.
Tombs of Mahmud Begada and his family: Elegant tombs showcasing exquisite craftsmanship.
Mosque: A large mosque with a spacious courtyard, reflecting the architectural grandeur of the period.
Sarkhej Lake: A serene lake surrounded by beautiful gardens, adding to the tranquility of the complex.
A Visit to Sarkhej Roza Offers:

Historical Exploration: Delve into the rich history of Gujarat and explore the lives of Sufi saints and royal figures.
Architectural Appreciation: Admire the exquisite architecture, intricate carvings, and the fusion of different styles.
Cultural Immersion: Experience the serene atmosphere of the complex and connect with the rich cultural and spiritual heritage of the region.
Sarkhej Roza is a must-visit destination for anyone interested in history, architecture, and the cultural heritage of Gujarat."
43,Shah Alam Roza,72.58889271,22.99417468,4.8,4:00 am - 10:00 pm,4:00 am - 10:00 pm,4:00 am - 10:00 pm,4:00 am - 10:00 pm,4:00 am - 10:00 pm,4:00 am - 10:00 pm,4:00 am - 10:00 pm,,Heritage_Gems,"The Shah-e-Alam's Roza is a significant historical and architectural complex in Ahmedabad, India.

A Glimpse into History:

Dedicated to Shah-e-Alam: This complex is dedicated to Shah-e-Alam, a revered Sufi saint and spiritual guide to Sultan Mahmud Begada.
Royal Patronage: The complex was built and expanded by successive Sultans of Gujarat, reflecting their devotion to the saint and their patronage of art and architecture.
Historical Significance: Represents a blend of religious and cultural influences, showcasing the harmonious coexistence of different faiths and traditions during the Sultanate period.
Architectural Marvels:

Impressive Architecture: The complex features a unique blend of architectural styles, combining Islamic and Indian elements.
Key Structures:
Tomb of Shah-e-Alam: A beautifully crafted tomb with intricate stonework and a serene atmosphere.
Mosque: A grand mosque with elegant minarets, reflecting the architectural grandeur of the period.
Assembly Hall: A historical hall built by Sultan Muzaffar Shah III.
Courtyard: A spacious courtyard surrounded by cloisters, creating a peaceful ambiance.
A Visit to Shah-e-Alam's Roza Offers:

Historical Exploration: Delve into the rich history of Ahmedabad and learn about the life and influence of Shah-e-Alam.
Architectural Appreciation: Admire the exquisite architecture, intricate carvings, and the fusion of different styles.
Spiritual Experience: Experience the serene atmosphere of the complex and connect with the spiritual significance of the site.
Shah-e-Alam's Roza is a must-visit destination for anyone interested in history, architecture, and the cultural heritage of Ahmedabad."
47,Teen Darwaja,72.5845366,23.0242454,4.3,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,,Heritage_Gems,"Teen Darwaza: A Gateway to Ahmedabad's History.

Teen Darwaza, a majestic triple-arched gateway, stands as a prominent landmark in Ahmedabad, India.

Historical Significance:

Royal Entrance: Served as the main entrance to the royal square (Maidan-Shah) during the reign of Sultan Ahmad Shah I, the founder of Ahmedabad.
Witness to History: Witnessed many significant events, including the young King Mahmud Begada's march against rebel nobles.
Maratha Inscription: Bears a significant inscription by Maratha governor Chimnaji Raghunath, declaring equal inheritance rights for women, a progressive step for its time.
Architectural Marvels:

Impressive Design: Features three grand arches, intricate stonework, and decorative buttresses.
Historical Fusion: Reflects the blend of architectural styles that characterize Ahmedabad, showcasing the city's rich cultural heritage.
Legends and Folklore:

The Legend of Siddique Kotwal: A fascinating legend associated with Teen Darwaza tells the story of Siddique Kotwal, a loyal watchman who sacrificed his life to prevent the Goddess of Wealth from leaving the city.
Teen Darwaza is a must-visit destination for anyone exploring Ahmedabad, offering a glimpse into the city's rich history, architectural heritage, and cultural legends."
16,Gujarat Vidhyapeeth,72.56928076,23.0441694,4.5,11:00 am -6:00 pm,11:00 am -6:00 pm,11:00 am -6:00 pm,11:00 am -6:00 pm,11:00 am -6:00 pm,11:00 am -6:00 pm,Closed,,Heritage_Gems,"The Gujarat Vidyapith is a unique and historically significant institution in India.

Founded by Mahatma Gandhi: Established in 1920 by Mahatma Gandhi, it embodies his vision of education as a tool for social and political change.
Gandhian Ideals: The university emphasizes Gandhian principles such as non-violence, truth, self-reliance, and social service.
Historical Significance: Played a crucial role in India's freedom struggle by providing an alternative to British-controlled educational institutions.
Academic Excellence: Offers a wide range of academic programs, including doctoral studies, while maintaining a strong focus on Gandhian values.
Cultural Heritage: The campus itself is a testament to its rich history and cultural significance.
Why Visit:

Historical Exploration: Learn about the history of the Indian independence movement and the role of Mahatma Gandhi.
Cultural Immersion: Experience the unique educational philosophy and values embodied by the Gujarat Vidyapith.
Campus Tour: Explore the historic campus and its serene atmosphere.
Connect with Gandhian Ideals: Gain a deeper understanding of Gandhian principles and their relevance in today's world.
The Gujarat Vidyapith offers a unique blend of academic excellence and cultural significance, making it a worthwhile destination for anyone interested in history, education, and the legacy of Mahatma Gandhi."
